Model Year,Manufacturer,Standards Category,Vehicle Fleet Category,GHG Standard (g/mi),Fleet Average (g/mi),Production Volume,Fleet Credits (Mg),A/C Efficiency Credits (Mg),A/C Leakage Credits (Mg),Off-Cycle Credits (Mg),Advanced Technology Credits (Mg),Methane (CH4) Debits (Mg),Nitrous Oxide (N2O) Debits (Mg),Total Credits (Mg)
"2017","Toyota","PRIMARY","Car","216.00","222","1,322,377","-1,549,276","1,137,148","835,763","917,932","751,878","-","-21,133","2,072,312"
"2017","Toyota","PRIMARY","Truck","290.00","325","1,244,479","-9,837,949","1,513,309","2,058,988","2,008,957","-","-","-24,524","-4,281,219"
"2018","Toyota","PRIMARY","Car","207.00","216","1,243,916","-2,186,028","1,079,319","1,686,152","1,077,743","408,860","-","-14,113","2,051,933"
"2018","Toyota","PRIMARY","Truck","275.00","324","1,199,216","-13,272,185","1,564,310","2,089,608","1,907,733","-","-3,491","-14,372","-7,728,397"
"2009","Volkswagen","EARLY","Car","-","-","-","1,592,527","231,296","110,126","-","-","-","-","1,933,949"
"2009","Volkswagen","EARLY","Truck","-","-","-","256,858","28,408","23,990","-","-","-","-","309,256"
"2010","Volkswagen","EARLY","Car","-","-","-","2,000,089","249,431","120,055","64,031","-","-","-","2,433,606"
"2010","Volkswagen","EARLY","Truck","-","-","-","363,961","42,110","36,017","12,786","-","-","-","454,874"
"2011","Volkswagen","EARLY","Car","-","-","-","508,374","239,277","109,887","71,100","-","-","-","928,638"
"2011","Volkswagen","EARLY","Truck","-","-","-","404,098","71,965","52,936","24,663","-","-","-","553,662"
"2012","Volkswagen","PRIMARY","Car","263.00","273","500,690","-977,667","374,795","221,065","121,957","-","-56,497","-138,267","-454,614"
"2012","Volkswagen","PRIMARY","Truck","327.00","330","64,882","-43,964","77,360","59,108","22,935","-","-1,515","-16,913","97,011"
"2013","Volkswagen","PRIMARY","Car","257.00","265","559,448","-873,920","417,725","290,530","169,637","-","-57,902","-150,195","-204,125"
"2013","Volkswagen","PRIMARY","Truck","317.00","312","68,414","77,262","80,313","78,562","18,228","-","-434","-10,889","243,042"
"2014","Volkswagen","PRIMARY","Car","250.00","256","487,086","-570,662","376,957","423,705","138,916","-","-44,575","-120,381","203,960"
"2014","Volkswagen","PRIMARY","Truck","311.00","320","103,524","-210,442","121,759","155,288","53,492","-","-922","-18,499","100,676"
"2015","Volkswagen","PRIMARY","Car","236.00","244","487,108","-760,917","383,978","435,715","174,189","-","-321","-82,228","150,416"
"2015","Volkswagen","PRIMARY","Truck","297.00","323","112,382","-659,962","129,509","179,463","51,346","-","-811","-9,662","-310,117"
"2016","Volkswagen","PRIMARY","Car","226.00","247","442,775","-1,815,618","386,940","492,639","179,256","-","-200","-1,096","-758,079"
"2016","Volkswagen","PRIMARY","Truck","279.00","320","119,437","-1,106,042","136,930","191,593","67,500","-","-481","-3,546","-714,046"
"2017","Volkswagen","PRIMARY","Car","213.00","246","500,125","-3,222,661","386,940","492,639","232,902","137,818","-334","-","-1,972,696"
"2017","Volkswagen","PRIMARY","Truck","282.00","321","164,114","-1,445,637","245,237","282,728","231,641","40,203","-","-","-645,828"
"2018","Volkswagen","PRIMARY","Car","206.00","257","329,216","-3,278,486","289,951","691,904","232,904","92,438","-348","-","-1,971,637"
"2018","Volkswagen","PRIMARY","Truck","272.00","300","400,267","-2,531,377","634,411","1,363,584","743,630","12,358","-","-","222,606"
"2009","Volvo","EARLY","Car","-","-","-","37,043","10,153","38,577","-","-","-","-","85,773"
"2009","Volvo","EARLY","Truck","-","-","-","82,540","7,853","18,123","-","-","-","-","108,516"
"2010","Volvo","EARLY","Car","-","-","-","-73,510","9,768","28,688","-","-","-","-","-35,054"
"2010","Volvo","EARLY","Truck","-","-","-","310,908","26,068","57,514","-","-","-","-","394,490"
"2011","Volvo","EARLY","Car","-","-","-","-160,100","9,873","30,220","-","-","-","-","-120,007"
"2011","Volvo","EARLY","Truck","-","-","-","225,729","24,807","45,933","-","-","-","-","296,469"
"2012","Volvo","PRIMARY","Car","272.00","297","52,375","-255,674","43,280","64,281","-","-","-","-","-148,113"
"2012","Volvo","PRIMARY","Truck","325.00","343","19,432","-79,002","18,880","33,040","-","-","-","-","-27,082"
"2013","Volvo","PRIMARY","Car","264.00","292","42,072","-230,024","30,611","51,622","-","-","-","-","-147,791"
"2013","Volvo","PRIMARY","Truck","316.00","348","31,282","-226,096","25,343","51,538","-","-","-","-","-149,215"
"2014","Volvo","PRIMARY","Car","258.00","288","16,526","-96,808","4,517","20,330","-","-","-","-","-71,961"
"2014","Volvo","PRIMARY","Truck","307.00","348","15,063","-139,490","2,854","24,902","-","-","-","-","-111,734"
"2015","Volvo","PRIMARY","Car","247.00","254","43,901","-60,006","21,613","43,455","-","-","-","-","5,062"
"2015","Volvo","PRIMARY","Truck","289.00","327","12,199","-104,702","3,858","21,491","-","-","-","-","-79,353"
"2015","Volvo","TLAAS","Truck","361.00","339","12,085","60,051","3,821","21,291","-","-","-","-","85,163"
"2016","Volvo","PRIMARY","Car","238.00","249","32,207","-69,178","20,754","31,954","-","-","-","-","-16,470"
"2016","Volvo","PRIMARY","Truck","289.00","300","57,283","-142,320","54,165","95,407","-","-","-","-","7,252"
"2017","Volvo","PRIMARY","Car","241.00","249","32,690","-51,065","25,486","34,762","21,786","-","-","-","30,969"
"2017","Volvo","PRIMARY","Truck","288.00","287","47,155","10,651","62,040","74,808","59,116","35,869","-","-","242,484"
"2018","Volvo","PRIMARY","Car","252.00","247","24,177","23,604","19,968","23,822","31,666","20,955","-","-","120,015"
"2018","Volvo","PRIMARY","Truck","292.00","279","70,767","207,789","102,487","112,883","175,299","70,421","-","-","668,879"
